fold,inner_macro_f1,best_params,accuracy,balanced_accuracy,macro_f1,precision,recall,auc
1,0.7030071183237591,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 250, ""model__subsample"": 0.85}",0.9574742268041238,0.9391136314720717,0.9399739812242889,0.9408421329525385,0.9391136314720717,0.9916341483956094
2,0.7602487106926421,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 250, ""model__subsample"": 0.85}",0.9879679144385026,0.9924496644295302,0.9818191147756151,0.9720496894409938,0.9924496644295302,0.9998454609678559
3,0.9431162512667366,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__subsample"": 0.9}",0.9321074964639321,0.8477735338200454,0.8855246113989637,0.9447536016818153,0.8477735338200454,0.9804307885703234
