modality,actual_user,windows,rejection_rate,mean_confidence,false_acceptance_rate
mouse,Julia104soup,4012,1.0,0.8462085766509994,0.0
mouse,bianca,1962,0.5127420998980632,0.9106977634580845,0.4872579001019368
mouse,lala,5361,0.8615929863831375,0.874905374796813,0.13840701361686247
mouse,laura_oliveira,3816,0.7735849056603774,0.8772712154961565,0.2264150943396226
teclado,Julia104soup,432,0.3402777777777778,0.8886146070780577,0.6597222222222222
teclado,bianca,469,0.2046908315565032,0.9203398133645943,0.7953091684434968
teclado,lala,551,0.12159709618874773,0.9535427915638891,0.8784029038112523
teclado,laura_oliveira,905,0.04640883977900553,0.97771513699168,0.9535911602209944
