fold,inner_macro_f1,best_params,accuracy,balanced_accuracy,macro_f1,precision,recall,auc
1,0.9994899921340881,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 250, ""model__subsample"": 0.85}",0.9989200863930886,0.998991935483871,0.9989147390392745,0.9988399071925754,0.998991935483871,1.0
2,0.9992913742324935,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 250, ""model__subsample"": 0.85}",0.9996463932107497,0.9996734160679295,0.9996439764606502,0.9996147919876733,0.9996734160679295,0.9999994964010299
3,0.9992793577499623,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 250, ""model__subsample"": 0.85}",0.9996682149966821,0.9996598639455783,0.9996680094257124,0.9996763754045308,0.9996598639455783,0.9999999999999999
