_id,user_id,session_id,event_type,data.key,data.press_time,data.release_time,data.hold_time,data.flight_time,key,timestamp,hold_time,user,_t,user_key,time_gap,new_block,session_block,missing_session,prev_valid_session,press_t,release_t,hold_time_ms_calc,release_prev,flight_time_ms_calc,flight_time
6a5ff23a7501bc9f6ccc79dd,laura,laura_key_48,keydown,,,,,,s,1784672819593.0,,laura,,laura,,True,48,True,,,,,,,
6a5ff23a7501bc9f6ccc79de,laura,laura_key_49,keydown,,,,,,t,1784672819752.0,,laura,,laura,,True,49,True,,,,,,,
6a5ff2307501bc9f6ccc78d5,laura,laura_key_5,keydown,,,,,,a,1784672810426.0,,laura,,laura,,True,5,True,,,,,,,
6a5ff23a7501bc9f6ccc79df,laura,laura_key_50,keydown,,,,,,e,1784672819821.0,,laura,,laura,,True,50,True,,,,,,,
6a5ff23a7501bc9f6ccc79e0,laura,laura_key_51,keydown,,,,,,Arrow,1784672821499.0,,laura,,laura,,True,51,True,,,,,,,
6a5ff23a7501bc9f6ccc79e1,laura,laura_key_52,keydown,,,,,,Shift,1784672821849.0,,laura,,laura,,True,52,True,,,,,,,
6a5ff23a7501bc9f6ccc79e2,laura,laura_key_53,keydown,,,,,,Enter,1784672821966.0,,laura,,laura,,True,53,True,,,,,,,
6a5ff23a7501bc9f6ccc79e3,laura,laura_key_54,keydown,,,,,,Enter,1784672822520.0,,laura,,laura,,True,54,True,,,,,,,
6a5ff23a7501bc9f6ccc79e4,laura,laura_key_55,keydown,,,,,,Enter,1784672823017.0,,laura,,laura,,True,55,True,,,,,,,
6a5ff23a7501bc9f6ccc79e5,laura,laura_key_56,keydown,,,,,,Arrow,1784672824389.0,,laura,,laura,,True,56,True,,,,,,,
6a5ff23a7501bc9f6ccc79e6,laura,laura_key_57,keydown,,,,,,Shift,1784672824405.0,,laura,,laura,,True,57,True,,,,,,,
6a5ff23a7501bc9f6ccc79e7,laura,laura_key_58,keydown,,,,,,Shift,1784672824814.0,,laura,,laura,,True,58,True,,,,,,,
6a5ff23a7501bc9f6ccc79e8,laura,laura_key_59,keydown,,,,,,Enter,1784672824940.0,,laura,,laura,,True,59,True,,,,,,,
6a5ff2307501bc9f6ccc78d6,laura,laura_key_6,keydown,,,,,,l,1784672811952.0,,laura,,laura,,True,6,True,,,,,,,
6a5ff23a7501bc9f6ccc79e9,laura,laura_key_60,keydown,,,,,,Enter,1784672825695.0,,laura,,laura,,True,60,True,,,,,,,
6a5ff23a7501bc9f6ccc79ea,laura,laura_key_61,shortcut,,,,,,Ctrl+A,1784672820627.0,,laura,,laura,,True,61,True,,,,,,,
6a5ff23a7501bc9f6ccc79eb,laura,laura_key_62,shortcut,,,,,,Ctrl+C,1784672820955.0,,laura,,laura,,True,62,True,,,,,,,
6a5ff23a7501bc9f6ccc79ec,laura,laura_key_63,shortcut,,,,,,Ctrl+V,1784672822278.0,,laura,,laura,,True,63,True,,,,,,,
6a5ff23a7501bc9f6ccc79ed,laura,laura_key_64,shortcut,,,,,,Ctrl+V,1784672822807.0,,laura,,laura,,True,64,True,,,,,,,
6a5ff23a7501bc9f6ccc79ee,laura,laura_key_65,shortcut,,,,,,Ctrl+V,1784672823231.0,,laura,,laura,,True,65,True,,,,,,,
6a5ff23a7501bc9f6ccc79ef,laura,laura_key_66,shortcut,,,,,,Ctrl+A,1784672823620.0,,laura,,laura,,True,66,True,,,,,,,
6a5ff23a7501bc9f6ccc79f0,laura,laura_key_67,shortcut,,,,,,Ctrl+C,1784672823868.0,,laura,,laura,,True,67,True,,,,,,,
6a5ff23a7501bc9f6ccc79f1,laura,laura_key_68,shortcut,,,,,,Ctrl+V,1784672825506.0,,laura,,laura,,True,68,True,,,,,,,
6a5ff23a7501bc9f6ccc79f2,laura,laura_key_69,shortcut,,,,,,Ctrl+V,1784672826413.0,,laura,,laura,,True,69,True,,,,,,,
6a5ff2307501bc9f6ccc78d7,laura,laura_key_7,keydown,,,,,,a,1784672812050.0,,laura,,laura,,True,7,True,,,,,,,
6a5ff2447501bc9f6ccc79f3,laura,laura_key_70,keydown,,,,,,Shift,1784672828603.0,,laura,,laura,,True,70,True,,,,,,,
6a5ff2447501bc9f6ccc79f4,laura,laura_key_71,keydown,,,,,,Enter,1784672828724.0,,laura,,laura,,True,71,True,,,,,,,
6a5ff2447501bc9f6ccc79f5,laura,laura_key_72,keydown,,,,,,Enter,1784672829411.0,,laura,,laura,,True,72,True,,,,,,,
6a5ff2447501bc9f6ccc79f6,laura,laura_key_73,keydown,,,,,,Enter,1784672829981.0,,laura,,laura,,True,73,True,,,,,,,
6a5ff2457501bc9f6ccc7a91,laura,laura_key_74,shortcut,,,,,,Ctrl+A,1784672826743.0,,laura,,laura,,True,74,True,,,,,,,
6a5ff2457501bc9f6ccc7a92,laura,laura_key_75,shortcut,,,,,,Ctrl+X,1784672827469.0,,laura,,laura,,True,75,True,,,,,,,
6a5ff2457501bc9f6ccc7a93,laura,laura_key_76,shortcut,,,,,,Ctrl+V,1784672828240.0,,laura,,laura,,True,76,True,,,,,,,
6a5ff2457501bc9f6ccc7a94,laura,laura_key_77,shortcut,,,,,,Ctrl+V,1784672829013.0,,laura,,laura,,True,77,True,,,,,,,
6a5ff2457501bc9f6ccc7a95,laura,laura_key_78,shortcut,,,,,,Ctrl+V,1784672829729.0,,laura,,laura,,True,78,True,,,,,,,
6a5ff2457501bc9f6ccc7a96,laura,laura_key_79,shortcut,,,,,,Ctrl+V,1784672830178.0,,laura,,laura,,True,79,True,,,,,,,
6a5ff2307501bc9f6ccc78d8,laura,laura_key_8,keydown,,,,,,u,1784672812175.0,,laura,,laura,,True,8,True,,,,,,,
6a5ff2307501bc9f6ccc78d9,laura,laura_key_9,keydown,,,,,,r,1784672812237.0,,laura,,laura,,True,9,True,,,,,,,
6a5563b8131f297e23c617af,laura2,a92c23cb-9e73-4024-9555-5192f78141c3,keystroke,CHARACTER_KEY,1783980979959.0,1783980980154.0,195.0,,,,195.0,,1783980979.959,laura2,,False,0,False,a92c23cb-9e73-4024-9555-5192f78141c3,1783980979.959,1783980980.154,194.99993324279785,,,
6a5563b8131f297e23c617b0,laura2,a92c23cb-9e73-4024-9555-5192f78141c3,keystroke,CHARACTER_KEY,1783980980160.0,1783980980235.0,75.0,6.0,,,75.0,,1783980980.16,laura2,0.20099997520446777,False,0,False,a92c23cb-9e73-4024-9555-5192f78141c3,1783980980.16,1783980980.235,74.99980926513672,1783980980.154,6.000041961669922,6.0
6a5563b8131f297e23c617b1,laura2,a92c23cb-9e73-4024-9555-5192f78141c3,keystroke,CHARACTER_KEY,1783980980258.0,1783980980308.0,50.0,23.0,,,50.0,,1783980980.258,laura2,0.09799981117248535,False,0,False,a92c23cb-9e73-4024-9555-5192f78141c3,1783980980.258,1783980980.308,50.00019073486328,1783980980.235,23.000001907348633,23.0
6a5563b8131f297e23c617b2,laura2,a92c23cb-9e73-4024-9555-5192f78141c3,keystroke,CHARACTER_KEY,1783980980317.0,1783980980404.0,87.0,9.0,,,87.0,,1783980980.317,laura2,0.05900001525878906,False,0,False,a92c23cb-9e73-4024-9555-5192f78141c3,1783980980.317,1783980980.404,87.00013160705566,1783980980.308,8.999824523925781,9.0
6a5563b8131f297e23c617b3,laura2,a92c23cb-9e73-4024-9555-5192f78141c3,keystroke,CHARACTER_KEY,1783980980427.0,1783980980470.0,43.0,23.0,,,43.0,,1783980980.427,laura2,0.1100001335144043,False,0,False,a92c23cb-9e73-4024-9555-5192f78141c3,1783980980.427,1783980980.47,42.999982833862305,1783980980.404,23.000001907348633,23.0
6a5563b8131f297e23c617b4,laura2,a92c23cb-9e73-4024-9555-5192f78141c3,keystroke,CHARACTER_KEY,1783980980496.0,1783980980580.0,84.0,26.0,,,84.0,,1783980980.496,laura2,0.0690000057220459,False,0,False,a92c23cb-9e73-4024-9555-5192f78141c3,1783980980.496,1783980980.58,83.9998722076416,1783980980.47,26.000022888183594,26.0
6a5563b8131f297e23c617b5,laura2,a92c23cb-9e73-4024-9555-5192f78141c3,keystroke,CHARACTER_KEY,1783980980580.0,1783980980581.0,1.0,0.0,,,1.0,,1783980980.58,laura2,0.0839998722076416,False,0,False,a92c23cb-9e73-4024-9555-5192f78141c3,1783980980.58,1783980980.581,1.0001659393310547,1783980980.58,0.0,0.0
6a5563b8131f297e23c617b6,laura2,a92c23cb-9e73-4024-9555-5192f78141c3,keystroke,CHARACTER_KEY,1783980980616.0,1783980980706.0,90.0,35.0,,,90.0,,1783980980.616,laura2,0.03600001335144043,False,0,False,a92c23cb-9e73-4024-9555-5192f78141c3,1783980980.616,1783980980.706,90.00015258789062,1783980980.581,34.999847412109375,35.0
6a5fe6e00df87e62ce5e594f,laura2,laura2_key_1,keydown,,,,,,l,1784669912505.0,,laura2,,laura2,,True,1,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5958,laura2,laura2_key_10,keydown,,,,,,a,1784669915692.0,,laura2,,laura2,,True,10,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5959,laura2,laura2_key_11,keydown,,,,,,s,1784669917383.0,,laura2,,laura2,,True,11,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e595a,laura2,laura2_key_12,keydown,,,,,,a,1784669917416.0,,laura2,,laura2,,True,12,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e595b,laura2,laura2_key_13,keydown,,,,,,d,1784669917503.0,,laura2,,laura2,,True,13,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e595c,laura2,laura2_key_14,keydown,,,,,,a,1784669917624.0,,laura2,,laura2,,True,14,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e595d,laura2,laura2_key_15,keydown,,,,,,s,1784669917628.0,,laura2,,laura2,,True,15,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e595e,laura2,laura2_key_16,keydown,,,,,,d,1784669917755.0,,laura2,,laura2,,True,16,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e595f,laura2,laura2_key_17,keydown,,,,,,s,1784669917833.0,,laura2,,laura2,,True,17,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5960,laura2,laura2_key_18,keydown,,,,,,a,1784669917837.0,,laura2,,laura2,,True,18,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5961,laura2,laura2_key_19,keydown,,,,,,d,1784669917974.0,,laura2,,laura2,,True,19,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5950,laura2,laura2_key_2,keydown,,,,,,a,1784669912621.0,,laura2,,laura2,,True,2,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5962,laura2,laura2_key_20,keydown,,,,,,a,1784669918000.0,,laura2,,laura2,,True,20,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5963,laura2,laura2_key_21,keydown,,,,,,s,1784669918015.0,,laura2,,laura2,,True,21,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5964,laura2,laura2_key_22,keydown,,,,,,s,1784669918207.0,,laura2,,laura2,,True,22,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5965,laura2,laura2_key_23,keydown,,,,,,a,1784669918208.0,,laura2,,laura2,,True,23,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5966,laura2,laura2_key_24,keydown,,,,,,d,1784669918221.0,,laura2,,laura2,,True,24,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5967,laura2,laura2_key_25,keydown,,,,,,d,1784669918463.0,,laura2,,laura2,,True,25,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5968,laura2,laura2_key_26,keydown,,,,,,a,1784669918481.0,,laura2,,laura2,,True,26,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5969,laura2,laura2_key_27,keydown,,,,,,s,1784669918542.0,,laura2,,laura2,,True,27,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e596a,laura2,laura2_key_28,keydown,,,,,,Shift,1784669919884.0,,laura2,,laura2,,True,28,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e596b,laura2,laura2_key_29,keydown,,,,,,Enter,1784669920024.0,,laura2,,laura2,,True,29,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e00df87e62ce5e5951,laura2,laura2_key_3,keydown,,,,,,u,1784669912724.0,,laura2,,laura2,,True,3,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e10df87e62ce5e5a06,laura2,laura2_key_30,shortcut,,,,,,Ctrl+A,1784669919044.0,,laura2,,laura2,,True,30,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6e10df87e62ce5e5a07,laura2,laura2_key_31,shortcut,,,,,,Ctrl+C,1784669919315.0,,laura2,,laura2,,True,31,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6ea0df87e62ce5e5a08,laura2,laura2_key_32,keydown,,,,,,Enter,1784669921508.0,,laura2,,laura2,,True,32,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6ea0df87e62ce5e5a09,laura2,laura2_key_33,keydown,,,,,,Enter,1784669922030.0,,laura2,,laura2,,True,33,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6ea0df87e62ce5e5a0a,laura2,laura2_key_34,keydown,,,,,,Enter,1784669922237.0,,laura2,,laura2,,True,34,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6ea0df87e62ce5e5a0b,laura2,laura2_key_35,keydown,,,,,,Enter,1784669922435.0,,laura2,,laura2,,True,35,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
6a5fe6ea0df87e62ce5e5a0c,laura2,laura2_key_36,keydown,,,,,,Enter,1784669922665.0,,laura2,,laura2,,True,36,True,a92c23cb-9e73-4024-9555-5192f78141c3,,,,,,
