_id,user_id,session_id,event_type,data.key,data.press_time,data.release_time,data.hold_time,data.flight_time,key,timestamp,hold_time,user
6a5fd5fc5409b7b2c137b1c5,,,keydown,,,,,,r,1784665596562.0,,
6a5fd6065409b7b2c137b219,,,keydown,,,,,,CapsLock,1784665604468.0,,
6a5fd6065409b7b2c137b21a,,,keydown,,,,,,T,1784665604690.0,,
6a5fd6065409b7b2c137b21b,,,keydown,,,,,,CapsLock,1784665604740.0,,
6a5fd6065409b7b2c137b21c,,,keydown,,,,,,e,1784665604955.0,,
6a5fd6065409b7b2c137b21d,,,keydown,,,,,,s,1784665605114.0,,
6a5fd6065409b7b2c137b21e,,,keydown,,,,,,t,1784665605214.0,,
6a5fd6065409b7b2c137b21f,,,keydown,,,,,,e,1784665605330.0,,
6a5fd6065409b7b2c137b220,,,keydown,,,,,, ,1784665605398.0,,
6a5fd6065409b7b2c137b221,,,keydown,,,,,,t,1784665605593.0,,
6a5fd6065409b7b2c137b222,,,keydown,,,,,,e,1784665605656.0,,
6a5fd6065409b7b2c137b223,,,keydown,,,,,,s,1784665605827.0,,
6a5fd6065409b7b2c137b224,,,keydown,,,,,,t,1784665605960.0,,
6a5fd6065409b7b2c137b225,,,keydown,,,,,,e,1784665606098.0,,
6a5fd6065409b7b2c137b226,,,keydown,,,,,, ,1784665606473.0,,
6a5fd6065409b7b2c137b227,,,keydown,,,,,,t,1784665606673.0,,
6a5fd6105409b7b2c137b30b,,,keydown,,,,,,e,1784665606773.0,,
6a5fd6105409b7b2c137b30c,,,keydown,,,,,,s,1784665606962.0,,
6a5fd6105409b7b2c137b30d,,,keydown,,,,,,t,1784665607077.0,,
6a5fd6105409b7b2c137b30e,,,keydown,,,,,,e,1784665607195.0,,
6a5fd6105409b7b2c137b30f,,,keydown,,,,,, ,1784665607351.0,,
6a5fd6105409b7b2c137b310,,,keydown,,,,,,t,1784665607525.0,,
6a5fd6105409b7b2c137b311,,,keydown,,,,,,e,1784665607615.0,,
6a5fd6105409b7b2c137b312,,,keydown,,,,,,s,1784665607782.0,,
6a5fd6105409b7b2c137b313,,,keydown,,,,,,t,1784665607886.0,,
6a5fd6105409b7b2c137b314,,,keydown,,,,,,e,1784665608205.0,,
6a5fd6105409b7b2c137b315,,,keydown,,,,,, ,1784665608736.0,,
6a5fd6105409b7b2c137b316,,,keydown,,,,,,t,1784665608928.0,,
6a5fd6105409b7b2c137b317,,,keydown,,,,,,e,1784665609035.0,,
6a5fd6105409b7b2c137b318,,,keydown,,,,,,s,1784665609709.0,,
6a5fd6105409b7b2c137b319,,,keydown,,,,,,t,1784665609812.0,,
6a5fd6105409b7b2c137b31a,,,keydown,,,,,,e,1784665609899.0,,
6a5fd6105409b7b2c137b31b,,,keydown,,,,,,;,1784665610439.0,,
6a5fd6105409b7b2c137b31c,,,keydown,,,,,,Shift,1784665610598.0,,
6a5fd6105409b7b2c137b31d,,,keydown,,,,,,ArrowLeft,1784665610830.0,,
6a5fd6105409b7b2c137b31e,,,keydown,,,,,,ArrowLeft,1784665611333.0,,
6a5fd6105409b7b2c137b31f,,,keydown,,,,,,ArrowLeft,1784665611363.0,,
6a5fd6105409b7b2c137b320,,,keydown,,,,,,ArrowLeft,1784665611395.0,,
6a5fd6105409b7b2c137b321,,,keydown,,,,,,ArrowLeft,1784665611428.0,,
6a5fd6105409b7b2c137b322,,,keydown,,,,,,ArrowLeft,1784665611460.0,,
6a5fd6105409b7b2c137b323,,,keydown,,,,,,ArrowLeft,1784665611494.0,,
6a5fd6105409b7b2c137b324,,,keydown,,,,,,ArrowLeft,1784665611526.0,,
6a5fd6105409b7b2c137b325,,,keydown,,,,,,ArrowLeft,1784665611558.0,,
6a5fd6105409b7b2c137b326,,,keydown,,,,,,ArrowLeft,1784665611591.0,,
6a5fd6105409b7b2c137b327,,,keydown,,,,,,ArrowLeft,1784665611623.0,,
