feature,mouse_n,mouse_media,mouse_desvio_padrao,mouse_cv,mouse_cv_pct,trackpad_n,trackpad_media,trackpad_desvio_padrao,trackpad_cv,trackpad_cv_pct,diferenca_cv_trackpad_menos_mouse,diferenca_cv_pct_points,cv_maior_modalidade
acceleration,60,8771.449329743024,19486.883928206527,2.221626460535848,222.16264605358478,32,4864.559666622619,3203.2210866365217,0.6584811999768241,65.8481199976824,-1.5631452605590237,-156.31452605590238,mouse
angle_deg,60,141.42937238166235,21.6918235674064,0.15337566166148772,15.337566166148772,32,128.3390955294728,32.10896331838655,0.2501884806490069,25.018848064900688,0.09681281898751917,9.681281898751918,trackpad
angle_rad,60,0.4260870069587857,0.3048979679498584,0.7155767788510632,71.55767788510632,32,0.4731239208463026,0.296798241994341,0.6273160770722431,62.73160770722431,-0.08826070177882006,-8.826070177882006,mouse
cum_distance,60,11663.519386306221,46292.16090775846,3.9689702031197083,396.89702031197083,32,11534.528489602892,34223.62264816722,2.967058660353221,296.7058660353221,-1.001911542766487,-100.1911542766487,mouse
distance,60,11.686123957738763,7.579826633493531,0.6486176820393927,64.86176820393928,32,5.361260245999585,5.6619759369775835,1.0560904856656388,105.60904856656389,0.40747280362624605,40.74728036262461,trackpad
dt,60,0.10082224414249936,0.08242032227117882,0.8174815287258258,81.74815287258258,32,0.06787305347277647,0.04993366819802323,0.7356920846069105,73.56920846069104,-0.08178944411891531,-8.178944411891532,mouse
dx,60,-0.024015700166438548,1.2730274232682912,53.008132781709236,5300.813278170924,32,0.12536697872631675,0.5067637482990169,4.042242649919091,404.2242649919091,-48.96589013179015,-4896.589013179015,mouse
dy,60,0.15629597350095992,1.3845500684112237,8.85851399366165,885.851399366165,32,-0.042374887306478856,0.5339622397754066,12.600912326055132,1260.0912326055131,3.742398332393483,374.2398332393483,trackpad
speed,60,874.7421130546554,706.1160880997958,0.8072277275344538,80.72277275344538,32,488.89339640408764,285.39779138331374,0.583762827402607,58.3762827402607,-0.22346490013184683,-22.346490013184685,mouse
x,60,725.456927013288,272.94726213814045,0.37624185802714233,37.62418580271423,32,514.8147662330182,283.4290480519488,0.5505456848602933,55.05456848602933,0.174303826833151,17.4303826833151,trackpad
y,60,455.2656650873038,127.05520005142347,0.27907924931492206,27.907924931492207,32,540.6217491909387,96.0439039663508,0.17765453223086974,17.765453223086975,-0.10142471708405232,-10.142471708405232,mouse
