modalidade,feature,n_sessoes,shapiro_stat,shapiro_p,shapiro_normal,dagostino_stat,dagostino_p,dagostino_normal,observacao
mouse,x,60,0.9416605954955026,0.006429921989147748,False,7.250023391875073,0.02664878565200035,False,
mouse,y,60,0.9711059434966396,0.16525009497892468,True,3.0470226627668087,0.21794526376134046,True,
mouse,dt,60,0.7787662546893923,4.144129970136326e-08,False,48.54778086039428,2.870670403999656e-11,False,
mouse,dx,60,0.7430447478873657,6.6031967059100445e-09,False,25.383167773327543,3.076912537396829e-06,False,
mouse,dy,60,0.6014765413563433,1.686069633334776e-11,False,71.8338176302425,2.5204883508882286e-16,False,
mouse,distance,60,0.8405833793303125,1.6246697380863362e-06,False,27.5848422014491,1.0233580822418654e-06,False,
mouse,speed,60,0.6796026416307144,3.660334294110891e-10,False,57.84875304830601,2.743486851129283e-13,False,
mouse,acceleration,60,0.6196542108916765,3.317129146256848e-11,False,69.60844161811008,7.668650685519289e-16,False,
mouse,angle_rad,60,0.9315971332542919,0.0023227375715903203,False,13.97969794944745,0.0009211856434807213,False,
mouse,angle_deg,60,0.8434915682521482,1.9682225072486678e-06,False,30.579052325180655,2.2900404664937586e-07,False,
mouse,cum_distance,60,0.20195562218985802,2.2169688505120546e-16,False,129.03644803024028,9.551934330769607e-29,False,
trackpad,x,32,0.879137155540944,0.0018999564134532907,False,5.947522849988735,0.05111069925130278,True,
trackpad,y,32,0.8872419132444344,0.0029778220557945723,False,7.32003507818741,0.025732061405365863,False,
trackpad,dt,32,0.912568149314162,0.013137815272759111,False,5.230324003959273,0.07315593632944718,True,
trackpad,dx,32,0.8242848630259103,0.00012072534751858623,False,24.737109754198244,4.250155969059367e-06,False,
trackpad,dy,32,0.6827871001126952,4.854034877646463e-07,False,40.22287524776398,1.8437991770791738e-09,False,
trackpad,distance,32,0.6398670746852441,1.2287732097977653e-07,False,49.969476225004655,1.4101525787741814e-11,False,
trackpad,speed,32,0.9602928591361473,0.2797857589035847,True,1.8149293502055857,0.40354604850171816,True,
trackpad,acceleration,32,0.9115151535446542,0.012321080587159963,False,7.677408551728151,0.021521469173730833,False,
trackpad,angle_rad,32,0.9421414860595898,0.08612278178455307,True,6.645872555013463,0.036046832704832214,False,
trackpad,angle_deg,32,0.8227681940478111,0.00011256714681725269,False,26.882695285576318,1.4537739730081803e-06,False,
trackpad,cum_distance,32,0.3536658606233483,9.146043263978726e-11,False,61.38420096916795,4.6837113414561276e-14,False,
