modalidade,feature,n_sessoes,shapiro_stat,shapiro_p,shapiro_normal,dagostino_stat,dagostino_p,dagostino_normal,observacao
mouse,x,180,0.9060170274713916,2.7108781631992957e-09,False,55.103063748086946,1.08273391129093e-12,False,
mouse,y,180,0.9660515188762848,0.0002297471630166979,False,24.613184106630158,4.521837802356797e-06,False,
mouse,delta_x,180,1.0,1.0,True,,,False,
mouse,delta_y,180,0.09521808213952143,1.5947609834844577e-28,False,392.33107488472876,6.4030891597505765e-86,False,
mouse,timestamp,180,0.9007638548406696,1.2755253346559107e-09,False,2.2442616907722934,0.32558528303926193,True,
mouse,_t,180,0.9007638548406521,1.2755253346527844e-09,False,2.244261690765898,0.32558528304030304,True,
mouse,time_gap,180,0.2077107067671965,4.449228080734091e-27,False,263.63106273718745,5.665550271464768e-58,False,
mouse,new_block,180,0.23118213357611028,9.336719803002703e-27,False,291.2070346013049,5.8236583745998965e-64,False,
mouse,session_block,180,0.9606745232685635,6.15664202248904e-05,False,17.482929539755727,0.00015981961741376772,False,
mouse,missing_session,180,1.0,1.0,True,,,False,
mouse,prev_valid_session,0,,,,,,,Amostra insuficiente; minimo de 3 sessoes.
mouse,_x,180,0.9060170274713916,2.7108781631992957e-09,False,55.103063748086946,1.08273391129093e-12,False,
mouse,_y,180,0.9660515188762848,0.0002297471630166979,False,24.613184106630158,4.521837802356797e-06,False,
mouse,dt,180,0.5285987240414326,8.316934864775061e-22,False,271.31136237949374,1.2175483611893562e-59,False,
mouse,dx,180,0.4057599368733287,4.4036945764157906e-24,False,180.8503919779478,5.355948062900265e-40,False,
mouse,dy,180,0.3215995705865323,1.93910795742635e-25,False,245.29797502646352,5.422774085713334e-54,False,
mouse,distance,180,0.5615781671412028,4.05522340114032e-21,False,244.33666310156406,8.769356871355649e-54,False,
mouse,speed,180,0.5473639818442748,2.026674171910742e-21,False,237.07502979858054,3.309873385028548e-52,False,
mouse,speed_prev,180,0.6280673703192186,1.331768612307675e-19,False,188.4743007512052,1.1839288445569042e-41,False,
mouse,acceleration,179,0.3195648102901274,2.0892455396141587e-25,False,296.2774014377185,4.615085183528158e-65,False,
mouse,angle_rad,180,0.9191545738398219,2.0201160614064246e-08,False,51.9782220742011,5.1650257024282406e-12,False,
mouse,angle_deg,180,0.7953054836053095,1.3174381485390382e-14,False,66.2665946873322,4.077479595146456e-15,False,
mouse,cum_distance,180,0.2975106149871728,8.389798552806406e-26,False,317.5400640125754,1.1144259288436178e-69,False,
trackpad,x,35,0.8694882671091955,0.0006594558613779707,False,6.1328743870727065,0.04658683942376825,False,
trackpad,y,35,0.9242178084020983,0.018896148014232287,False,4.72022607480103,0.09440955078291849,True,
trackpad,delta_x,35,0.31344517344029843,1.2156822427122844e-11,False,58.464575167669544,2.01640984380952e-13,False,
trackpad,delta_y,35,0.17128654422208323,7.730988164345007e-13,False,82.2117505778777,1.4058700797440557e-18,False,
trackpad,timestamp,35,0.6925692838637603,2.8617052559460985e-07,False,28.685755494113415,5.901566970688304e-07,False,
trackpad,_t,35,0.692569283863506,2.861705255920472e-07,False,28.68575549481242,5.9015669686257e-07,False,
trackpad,time_gap,35,0.24085372405292582,2.8439658063483923e-12,False,80.15498766141276,3.931566091968072e-18,False,
trackpad,new_block,35,0.2523823501180664,3.5578755514244652e-12,False,78.8645492483061,7.495156783437936e-18,False,
trackpad,session_block,35,0.954329479252834,0.15386447435914413,True,5.599840267423942,0.06081491949314208,True,
trackpad,missing_session,35,1.0,1.0,True,,,False,
trackpad,prev_valid_session,0,,,,,,,Amostra insuficiente; minimo de 3 sessoes.
trackpad,_x,35,0.8694882671091955,0.0006594558613779707,False,6.1328743870727065,0.04658683942376825,False,
trackpad,_y,35,0.9242178084020983,0.018896148014232287,False,4.72022607480103,0.09440955078291849,True,
trackpad,dt,35,0.6111854140388495,2.0032480995657843e-08,False,55.03990014173955,1.1174742950613233e-12,False,
trackpad,dx,35,0.7604011826545063,3.732874779447924e-06,False,24.86891653133139,3.979086587379325e-06,False,
trackpad,dy,35,0.7863513007137527,1.1142709090265371e-05,False,15.251954307990225,0.00048761853225430274,False,
trackpad,distance,35,0.6548592948280427,7.94891168405883e-08,False,52.73146683959973,3.5441122168160087e-12,False,
trackpad,speed,35,0.968515306805965,0.40378106185128326,True,1.4858981895079808,0.4757089341056553,True,
trackpad,speed_prev,35,0.968447055909952,0.40203145906377635,True,1.4644044828979592,0.4808488778775678,True,
trackpad,acceleration,35,0.8446934968020561,0.00017516963742634405,False,24.997078137612903,3.732101534817789e-06,False,
trackpad,angle_rad,35,0.9798496424752272,0.7542766383178052,True,0.5815038564521,0.7477011385612042,True,
trackpad,angle_deg,35,0.8239432758361571,6.235094279127235e-05,False,17.373791422648953,0.00016878316548339003,False,
trackpad,cum_distance,35,0.3377158146555569,2.0238676759543034e-11,False,66.81128910022959,3.105366813484754e-15,False,
