modalidade,feature,n_sessoes,media,desvio_padrao,coeficiente_variacao_pct
mouse,acceleration,179,14852.624339460015,43137.37457870364,290.43604411442317
mouse,angle_deg,180,144.6249267572123,33.615373729385844,23.243139673852575
mouse,angle_rad,180,0.3731692547717349,0.3571417706080545,95.70503626471472
mouse,cum_distance,180,10969.55271677372,30695.41264206668,279.8237397148366
mouse,delta_x,180,0.0,0.0,
mouse,delta_y,180,0.39369091794889877,8.153274574826128,2070.9836582728653
mouse,distance,180,13.397558732512895,14.202259876596093,106.00632667599635
mouse,dt,180,0.11136959888096061,0.11947841161299305,107.28099302997374
mouse,dx,180,0.752811419676347,4.674247377796409,620.9054825185818
mouse,dy,180,-0.24237851337811236,4.688499824258368,1934.3710623987004
mouse,speed,180,1034.337149284142,1002.106607253027,96.88394233413916
mouse,speed_prev,180,1014.5667276445456,874.1866324313257,86.16354238827334
mouse,x,180,562.3209372497108,294.3979239623196,52.35407477484443
mouse,y,180,466.66217221205767,115.66323377364951,24.785217371570145
trackpad,acceleration,35,4013.637466328162,4415.809155380595,110.02012993017918
trackpad,angle_deg,35,124.5393494111834,43.68510839609371,35.07735394687301
trackpad,angle_rad,35,0.4532972723964932,0.34067939697167654,75.15584533976386
trackpad,cum_distance,35,10640.401521967528,32843.831119850285,308.6709749819394
trackpad,delta_x,35,-0.00015008246740226007,0.0005405222708034019,360.15017620589987
trackpad,delta_y,35,14.590757168037127,84.4786731071494,578.9875887470081
trackpad,distance,35,5.024662707511345,5.526957545727642,109.99658817825562
trackpad,dt,35,0.0826185502754695,0.10423139859449383,126.15980097322219
trackpad,dx,35,0.011867259852348312,0.7341494371837325,6186.34332034499
trackpad,dy,35,-0.01748273157367483,0.4950081615226223,2831.412010397713
trackpad,speed,35,462.7610223113132,293.2666278018937,63.37323449091278
trackpad,speed_prev,35,463.739039489925,293.4756201922197,63.28464830457639
trackpad,x,35,521.6179826165192,284.6549003299419,54.571527404417196
trackpad,y,35,544.5737362446309,101.70365401542585,18.6758279451323
