fold,inner_macro_f1,best_params,accuracy,balanced_accuracy,macro_f1,precision,recall,auc
1,0.8967407137375256,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__subsample"": 0.9}",0.9389880952380952,0.9444230484372685,0.9379960797463311,0.9349861152932517,0.9444230484372685,0.9898362635734878
2,0.8284346944287782,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__subsample"": 0.9}",0.9184115523465703,0.9199763623532212,0.9173079717323822,0.9155945779939251,0.9199763623532212,0.9751060718142318
3,0.7207511981618789,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__subsample"": 0.9}",0.9471014492753623,0.9431841528557732,0.9457602953947939,0.9492343336131774,0.9431841528557732,0.9913710450623202
