fold,inner_macro_f1,best_params,accuracy,balanced_accuracy,macro_f1,precision,recall,auc
1,0.9783542755876398,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 250, ""model__subsample"": 0.85}",0.8709973954343496,0.9121893584876672,0.8432777143811405,0.8182748945420124,0.9121893584876672,0.9300681165404469
2,0.9023335475739171,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 250, ""model__subsample"": 0.85}",0.9855584575203564,0.9863363722150896,0.9796322631588058,0.9733240239612098,0.9863363722150896,0.9977383213654583
3,0.9083333406163847,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 250, ""model__subsample"": 0.85}",0.9959115687462144,0.9920943255253185,0.9942355019923481,0.9964188040582385,0.9920943255253185,0.9999094861012239
